      Time        DX           DY       
   6.00000E+01  7.67016E-01 -6.41628E-01
   6.05000E+01  9.97505E-01 -7.05972E-02
   6.10000E+01 -1.23855E-01 -9.92300E-01
   6.15000E+01 -9.99800E-01 -2.00207E-02
   6.20000E+01 -6.16155E-01 -7.87625E-01
   6.25000E+01  9.55244E-01 -2.95818E-01
   6.30000E+01  9.52045E-01 -3.05959E-01
   6.35000E+01 -6.29569E-01 -7.76945E-01
   6.40000E+01 -9.99739E-01 -2.28571E-02
   6.45000E+01 -1.04659E-01 -9.94508E-01
   6.50000E+01  9.97849E-01 -6.55516E-02
   6.55000E+01  7.56913E-01 -6.53515E-01
   6.60000E+01 -9.05863E-01 -4.23570E-01
   6.65000E+01 -9.80701E-01 -1.95514E-01
   6.70000E+01  4.54094E-01 -8.90954E-01
   6.75000E+01  9.99999E-01 -1.33611E-03
   6.80000E+01  3.25124E-01 -9.45671E-01
   6.85000E+01 -9.90577E-01 -1.36960E-01
   6.90000E+01 -8.59092E-01 -5.11822E-01
   6.95000E+01  8.26352E-01 -5.63154E-01
   7.00000E+01  9.94135E-01 -1.08149E-01
   7.05000E+01 -2.47253E-01 -9.68951E-01
   7.10000E+01 -9.99981E-01 -6.09764E-03
   7.15000E+01 -5.21784E-01 -8.53077E-01
   7.20000E+01  9.72468E-01 -2.33037E-01
   7.25000E+01  9.26838E-01 -3.75461E-01
   7.30000E+01 -7.10454E-01 -7.03744E-01
   7.35000E+01 -9.98940E-01 -4.60361E-02
   7.40000E+01  2.18750E-02 -9.99761E-01
   7.45000E+01  9.99310E-01 -3.71339E-02
   7.50000E+01  6.83905E-01 -7.29571E-01
   7.55000E+01 -9.36414E-01 -3.50897E-01
   7.60000E+01 -9.67211E-01 -2.53974E-01
   7.65000E+01  5.55613E-01 -8.31441E-01
   7.70000E+01  9.99950E-01 -9.99286E-03
   7.75000E+01  2.05194E-01 -9.78721E-01
   7.80000E+01 -9.95543E-01 -9.43071E-02
   7.85000E+01 -8.07187E-01 -5.90296E-01
   7.90000E+01  8.74489E-01 -4.85045E-01
   7.95000E+01  9.88156E-01 -1.53450E-01
   8.00000E+01 -3.64905E-01 -9.31045E-01
   8.05000E+01 -1.00000E+00 -2.15363E-04
   8.10000E+01 -4.16728E-01 -9.09031E-01
   8.15000E+01  9.84217E-01 -1.76967E-01
   8.20000E+01  8.93242E-01 -4.49577E-01
   8.25000E+01 -7.79322E-01 -6.26624E-01
   8.30000E+01 -9.97015E-01 -7.72019E-02
   8.35000E+01  1.47885E-01 -9.89005E-01
   8.40000E+01  9.99860E-01 -1.67216E-02
   8.45000E+01  5.98906E-01 -8.00820E-01
   8.50000E+01 -9.59041E-01 -2.83268E-01
   8.55000E+01 -9.47789E-01 -3.18898E-01
   8.60000E+01  6.46039E-01 -7.63305E-01
   8.65000E+01  9.99644E-01 -2.66885E-02
   8.70000E+01  8.04480E-02 -9.96759E-01
   8.75000E+01 -9.98230E-01 -5.94726E-02
   8.80000E+01 -7.43818E-01 -6.68382E-01
   8.85000E+01  9.12412E-01 -4.09274E-01
   8.90000E+01  9.78507E-01 -2.06212E-01
   8.95000E+01 -4.74405E-01 -8.80307E-01
   9.00000E+01 -9.99997E-01 -2.37531E-03
   9.05000E+01 -3.02580E-01 -9.53124E-01
   9.10000E+01  9.91753E-01 -1.28167E-01
   9.15000E+01  8.49972E-01 -5.26829E-01
   9.20000E+01 -8.36444E-01 -5.48052E-01
   9.25000E+01 -9.93219E-01 -1.16259E-01
   9.30000E+01  2.70386E-01 -9.62752E-01
   9.35000E+01  9.99991E-01 -4.34324E-03
   9.40000E+01  5.02387E-01 -8.64643E-01
   9.45000E+01 -9.75110E-01 -2.21722E-01
   9.50000E+01 -9.21075E-01 -3.89385E-01
   9.55000E+01  7.24618E-01 -6.89151E-01
   9.60000E+01  9.98678E-01 -5.14066E-02
   9.65000E+01 -4.62215E-02 -9.98931E-01
   9.70000E+01 -9.99469E-01 -3.25892E-02
   9.75000E+01 -6.68497E-01 -7.43715E-01
   9.80000E+01  9.41335E-01 -3.37475E-01
   9.85000E+01  9.63981E-01 -2.65971E-01
   9.90000E+01 -5.73880E-01 -8.18939E-01
   9.95000E+01 -9.99921E-01 -1.25771E-02
   1.00000E+02 -1.81513E-01 -9.83388E-01
   1.00500E+02  9.96208E-01 -8.70017E-02
   1.01000E+02  7.95922E-01 -6.05399E-01
   1.01500E+02 -8.82534E-01 -4.70249E-01
   1.02000E+02 -9.86623E-01 -1.63021E-01
   1.02500E+02  3.86643E-01 -9.22229E-01
   1.03000E+02  1.00000E+00 -6.20480E-06
   1.03500E+02  3.95441E-01 -9.18491E-01
   1.04000E+02 -9.85955E-01 -1.67013E-01
   1.04500E+02 -8.85716E-01 -4.64228E-01
   1.05000E+02  7.91193E-01 -6.11567E-01
   1.05500E+02  9.96457E-01 -8.40982E-02
   1.06000E+02 -1.71784E-01 -9.85135E-01
   1.06500E+02 -9.99906E-01 -1.37193E-02
   1.07000E+02 -5.81229E-01 -8.13740E-01
   1.07500E+02  9.62595E-01 -2.70943E-01
   1.08000E+02  9.43264E-01 -3.32042E-01
   1.08500E+02 -6.62070E-01 -7.49442E-01
   1.09000E+02 -9.99525E-01 -3.08162E-02
   1.09500E+02 -5.61656E-02 -9.98421E-01
   1.10000E+02  9.98558E-01 -5.36873E-02
   1.10500E+02  7.30281E-01 -6.83147E-01
   1.11000E+02 -9.18627E-01 -3.95125E-01
   1.11500E+02 -9.76134E-01 -2.17168E-01
   1.12000E+02  4.94344E-01 -8.69266E-01
   1.12500E+02  9.99993E-01 -3.71142E-03
   1.13000E+02  2.79779E-01 -9.60064E-01
   1.13500E+02 -9.92815E-01 -1.19657E-01
   1.14000E+02 -8.40453E-01 -5.41885E-01
   1.14500E+02  8.46128E-01 -5.32980E-01
   1.15000E+02  9.92200E-01 -1.24653E-01
   1.15500E+02 -2.93287E-01 -9.56024E-01
   1.16000E+02 -9.99996E-01 -2.88573E-03
   1.16500E+02 -4.82603E-01 -8.75839E-01
   1.17000E+02  9.77559E-01 -2.10660E-01
   1.17500E+02  9.14993E-01 -4.03470E-01
   1.18000E+02 -7.38337E-01 -6.74432E-01
   1.18500E+02 -9.98370E-01 -5.70716E-02
   1.19000E+02  7.05269E-02 -9.97510E-01
   1.19500E+02  9.99598E-01 -2.83404E-02
   1.20000E+02  6.52647E-01 -7.57662E-01
   1.20500E+02 -9.45972E-01 -3.24248E-01
   1.21000E+02 -9.60523E-01 -2.78201E-01
   1.21500E+02  5.91730E-01 -8.06137E-01
   1.22000E+02  9.99881E-01 -1.54582E-02
   1.22500E+02  1.57673E-01 -9.87491E-01
   1.23000E+02 -9.96796E-01 -7.99865E-02
   1.23500E+02 -7.84228E-01 -6.20473E-01
   1.24000E+02  8.90208E-01 -4.55554E-01
   1.24500E+02  9.84946E-01 -1.72864E-01
   1.25000E+02 -4.08064E-01 -9.12953E-01
   1.25500E+02 -1.00000E+00 -9.39611E-05
   1.26000E+02 -3.73831E-01 -9.27497E-01
   1.26500E+02  9.87546E-01 -1.57330E-01
   1.27000E+02  8.77824E-01 -4.78984E-01
   1.27500E+02 -8.02632E-01 -5.96474E-01
   1.28000E+02 -9.95825E-01 -9.12851E-02
   1.28500E+02  1.95532E-01 -9.80697E-01
   1.29000E+02  9.99939E-01 -1.10136E-02
   1.29500E+02  5.63132E-01 -8.26367E-01
   1.30000E+02 -9.65917E-01 -2.58850E-01
   1.30500E+02 -9.38461E-01 -3.45386E-01
   1.31000E+02  6.77658E-01 -7.35377E-01
   1.31500E+02  9.99379E-01 -3.52399E-02
   1.32000E+02  3.18334E-02 -9.99493E-01
   1.32500E+02 -9.98838E-01 -4.81964E-02
   1.33000E+02 -7.16299E-01 -6.97793E-01
   1.33500E+02  9.24520E-01 -3.81134E-01
   1.34000E+02  9.73572E-01 -2.28380E-01
   1.34500E+02 -5.13901E-01 -8.57850E-01
   1.35000E+02 -9.99986E-01 -5.34442E-03
   1.35500E+02 -2.56739E-01 -9.66481E-01
   1.36000E+02  9.93772E-01 -1.11430E-01
   1.36500E+02  8.30528E-01 -5.56977E-01
   1.37000E+02 -8.55410E-01 -5.17951E-01
   1.37500E+02 -9.91072E-01 -1.33331E-01
   1.38000E+02  3.15938E-01 -9.48780E-01
   1.38500E+02  9.99999E-01 -1.72514E-03
   1.39000E+02  4.62443E-01 -8.86649E-01
   1.39500E+02 -9.79825E-01 -1.99856E-01
   1.40000E+02 -9.08582E-01 -4.17707E-01
   1.40500E+02  7.51612E-01 -6.59605E-01
   1.41000E+02  9.98012E-01 -6.30305E-02
   1.41500E+02 -9.47696E-02 -9.95499E-01
   1.42000E+02 -9.99703E-01 -2.43878E-02
   1.42500E+02 -6.36356E-01 -7.71396E-01
   1.43000E+02  9.50337E-01 -3.11224E-01
   1.43500E+02  9.56826E-01 -2.90660E-01
   1.44000E+02 -6.09154E-01 -7.93052E-01
   1.44500E+02 -9.99826E-01 -1.86359E-02
   1.45000E+02 -1.33695E-01 -9.91023E-01
   1.45500E+02  9.97313E-01 -7.32624E-02
   1.46000E+02  7.72100E-01 -6.35501E-01
   1.46500E+02 -8.97522E-01 -4.40970E-01
   1.47000E+02 -9.83117E-01 -1.82978E-01
   1.47500E+02  4.29153E-01 -9.03232E-01
   1.48000E+02  1.00000E+00 -4.78632E-04
   1.48500E+02  3.51912E-01 -9.36033E-01
   1.49000E+02 -9.88999E-01 -1.47923E-01
   1.49500E+02 -8.69557E-01 -4.93833E-01
   1.50000E+02  8.13646E-01 -5.81361E-01
   1.50500E+02  9.95111E-01 -9.87615E-02
   1.51000E+02 -2.19110E-01 -9.75700E-01
   1.51500E+02 -9.99963E-01 -8.60483E-03
   1.52000E+02 -5.44620E-01 -8.38683E-01
   1.52500E+02  9.69017E-01 -2.46994E-01
   1.53000E+02  9.33368E-01 -3.58920E-01
   1.53500E+02 -6.92804E-01 -7.21126E-01
   1.54000E+02 -9.99201E-01 -3.99595E-02
   1.54500E+02 -7.47272E-03 -9.99972E-01
   1.55000E+02  9.99075E-01 -4.30003E-02
   1.55500E+02  7.01872E-01 -7.12303E-01
   1.56000E+02 -9.30098E-01 -3.67311E-01
   1.56500E+02 -9.70812E-01 -2.39842E-01
   1.57000E+02  5.33065E-01 -8.46074E-01
   1.57500E+02  9.99974E-01 -7.27432E-03
   1.58000E+02  2.33478E-01 -9.72362E-01
   1.58500E+02 -9.94631E-01 -1.03490E-01
   1.59000E+02 -8.20192E-01 -5.72089E-01
   1.59500E+02  8.64298E-01 -5.02980E-01
   1.60000E+02  9.89825E-01 -1.42290E-01
   1.60500E+02 -3.38322E-01 -9.41030E-01
   1.61000E+02 -1.00000E+00 -8.61450E-04
   1.61500E+02 -4.41917E-01 -8.97056E-01
   1.62000E+02  9.81917E-01 -1.89313E-01
   1.62500E+02  9.01832E-01 -4.32086E-01
   1.63000E+02 -7.64446E-01 -6.44687E-01
   1.63500E+02 -9.97597E-01 -6.92829E-02
   1.64000E+02  1.18928E-01 -9.92903E-01
   1.64500E+02  9.99785E-01 -2.07316E-02
   1.65000E+02  6.19628E-01 -7.84896E-01
   1.65500E+02 -9.54437E-01 -2.98411E-01
   1.66000E+02 -9.52882E-01 -3.03340E-01
   1.66500E+02  6.26148E-01 -7.79704E-01
   1.67000E+02  9.99756E-01 -2.21103E-02
   1.67500E+02  1.09598E-01 -9.93976E-01
   1.68000E+02 -9.97764E-01 -6.68305E-02
   1.68500E+02 -7.59536E-01 -6.50465E-01
   1.69000E+02  9.04483E-01 -4.26510E-01
   1.69500E+02  9.81128E-01 -1.93359E-01
   1.70000E+02 -4.49896E-01 -8.93081E-01
   1.70500E+02 -9.99999E-01 -1.16022E-03
   1.71000E+02 -3.29700E-01 -9.44086E-01
   1.71500E+02  9.90321E-01 -1.38793E-01
   1.72000E+02  8.60908E-01 -5.08761E-01
   1.72500E+02 -8.24238E-01 -5.66244E-01
   1.73000E+02 -9.94310E-01 -1.06526E-01
   1.73500E+02  2.42497E-01 -9.70152E-01
   1.74000E+02  9.99979E-01 -6.49286E-03
   1.74500E+02  5.25701E-01 -8.50669E-01
   1.75000E+02 -9.71903E-01 -2.35381E-01
   1.75500E+02 -9.27978E-01 -3.72636E-01
   1.76000E+02  7.07504E-01 -7.06710E-01
   1.76500E+02  9.98988E-01 -4.49745E-02
   1.77000E+02 -1.68946E-02 -9.99857E-01
   1.77500E+02 -9.99274E-01 -3.80995E-02
   1.78000E+02 -6.87000E-01 -7.26657E-01
   1.78500E+02  9.35372E-01 -3.53664E-01
   1.79000E+02  9.67844E-01 -2.51550E-01
   1.79500E+02 -5.51827E-01 -8.33959E-01
   1.80000E+02 -9.99955E-01 -9.50108E-03
   1.80500E+02 -2.10014E-01 -9.77698E-01
   1.81000E+02  9.95397E-01 -9.58362E-02
   1.81500E+02  8.09437E-01 -5.87206E-01
   1.82000E+02 -8.72798E-01 -4.88081E-01
   1.82500E+02 -9.88453E-01 -1.51528E-01
   1.83000E+02  3.60423E-01 -9.32789E-01
   1.83500E+02  1.00000E+00 -2.94678E-04
   1.84000E+02  4.21038E-01 -9.07043E-01
   1.84500E+02 -9.83843E-01 -1.79035E-01
   1.85000E+02 -8.94736E-01 -4.46595E-01
   1.85500E+02  7.76842E-01 -6.29696E-01
   1.86000E+02  9.97121E-01 -7.58279E-02
   1.86500E+02 -1.42982E-01 -9.89725E-01
   1.87000E+02 -9.99849E-01 -1.73720E-02
   1.87500E+02 -6.02467E-01 -7.98144E-01
   1.88000E+02  9.58285E-01 -2.85816E-01
   1.88500E+02  9.48681E-01 -3.16236E-01
   1.89000E+02 -6.42707E-01 -7.66112E-01
   1.89500E+02 -9.99665E-01 -2.58811E-02
   1.90000E+02 -8.54042E-02 -9.96346E-01
   1.90500E+02  9.98157E-01 -6.06915E-02
   1.91000E+02  7.46531E-01 -6.65350E-01
   1.91500E+02 -9.11100E-01 -4.12185E-01
   1.92000E+02 -9.78970E-01 -2.04003E-01
   1.92500E+02  4.70282E-01 -8.82516E-01
   1.93000E+02  9.99998E-01 -2.13871E-03
   1.93500E+02  3.07210E-01 -9.51642E-01
   1.94000E+02 -9.91522E-01 -1.29942E-01
   1.94500E+02 -8.51868E-01 -5.23756E-01
   1.95000E+02  8.34414E-01 -5.51138E-01
   1.95500E+02  9.93414E-01 -1.14577E-01
   1.96000E+02 -2.65675E-01 -9.64063E-01
